Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-01-25,50/50,2011,https://boxd.it/cNxiKJ,4,,,2026-01-24
2026-01-27,Minari,2020,https://boxd.it/cQb8Q1,5,,,2026-01-26
2026-01-29,The Midnight Sky,2020,https://boxd.it/cSMYLT,2.5,,,2026-01-27
2026-01-30,Wonder Man,2026,https://boxd.it/cTat6N,3.5,,,2026-01-29
2026-02-01,100 METERS,2025,https://boxd.it/cV1rC3,3.5,,,2026-01-31
2026-02-03,Manchester by the Sea,2016,https://boxd.it/cXOi4x,4,,,2026-02-03
2026-02-03,Ordinary People,2016,https://boxd.it/cXZ7YL,4,,,2026-02-03
2026-02-07,The Wrecking Crew,2026,https://boxd.it/d0NN3b,2.5,,,2026-02-06
2026-03-10,Marty Supreme,2025,https://boxd.it/dsTzOh,5,,,2026-03-10
2026-03-14,If I Had Legs I'd Kick You,2025,https://boxd.it/dvcXmx,3.5,,,2026-03-13
2026-03-19,Lost in Translation,2003,https://boxd.it/dzEtPV,4,,,2026-03-18
2026-03-20,The Half of It,2020,https://boxd.it/dApWk7,4.5,,,2026-03-19
2026-03-21,The Grand Budapest Hotel,2014,https://boxd.it/dBbKEb,4.5,,,2026-03-20
2026-03-22,Sunshine,2007,https://boxd.it/dC2fMf,4.5,,,2026-03-21
2026-03-25,Project Hail Mary,2026,https://boxd.it/dF3F4x,4.5,,,2026-03-24
2026-03-26,The Shape of Water,2017,https://boxd.it/dFYfSl,4,,,2026-03-25
2026-03-29,Frequency,2000,https://boxd.it/dJhwed,3.5,,,2026-03-29
2026-03-31,Drive,2011,https://boxd.it/dKC27d,4,,,2026-03-30
2026-04-04,Send Help,2026,https://boxd.it/dO6VxR,4,,,2026-04-03
2026-04-05,The Witch,2015,https://boxd.it/dQ0xQL,4.5,,,2026-04-05
2026-04-10,Something Very Bad Is Going to Happen,2026,https://boxd.it/dU6P9D,4,,,2026-04-09
2026-04-26,Kung Fu Hustle,2004,https://boxd.it/e7wOlH,4.5,Yes,,2026-04-26
2026-05-03,Toy Story 3,2010,https://boxd.it/edk4AL,5,,,2026-05-03
2026-05-06,Shaolin Soccer,2001,https://boxd.it/efI4Vb,5,Yes,,2026-05-06
2026-05-07,The Perks of Being a Wallflower,2012,https://boxd.it/eg1B1t,5,,,2026-05-06
2026-05-09,The Drama,2026,https://boxd.it/ehnRqH,4,,,2026-05-08
2026-05-10,Die My Love,2025,https://boxd.it/eidDzJ,4,,,2026-05-09
2026-05-13,Anatomy of a Fall,2023,https://boxd.it/ekP76T,4.5,,,2026-05-12
2026-05-17,BEEF,2023,https://boxd.it/eoACkN,5,,,2026-05-17
2026-05-22,The Devil Wears Prada,2006,https://boxd.it/erYvTh,4,,,2026-05-21
2026-05-24,Woman in Stall,2018,https://boxd.it/euiDcj,3.5,,,2026-05-24
2026-05-25,Exit 8,2025,https://boxd.it/eupKgr,4,,,2026-05-24
2026-05-27,The Batman,2022,https://boxd.it/ewZJPZ,4,,,2026-05-27
2026-05-27,Deadpool & Wolverine,2024,https://boxd.it/ewZKlr,2.5,,,2026-05-27
2026-05-28,The Substance,2024,https://boxd.it/ex4SMl,5,,,2026-05-27
2026-06-01,Over Your Dead Body,2026,https://boxd.it/eAv8dZ,3.5,,,2026-05-31
2026-06-01,Thunderbolts*,2025,https://boxd.it/eBpAPf,4,,,2026-06-01
2026-06-05,Barbarian,2022,https://boxd.it/eE3g0f,4.5,,,2026-06-04
2026-06-05,Interstellar,2014,https://boxd.it/eEBT6T,5,Yes,,2026-06-05
2026-06-09,Perfect Blue,1997,https://boxd.it/eIEc93,5,,,2026-06-09
2026-06-11,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/eKjYvH,5,Yes,,2026-06-11
2026-06-12,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/eKqq6R,5,Yes,,2026-06-11
2026-06-14,Set It Up,2018,https://boxd.it/eLZOJd,3.5,,,2026-06-13
2026-06-17,Dumb Money,2023,https://boxd.it/eOGRln,3,,,2026-06-16
2026-06-18,Spider-Man: No Way Home,2021,https://boxd.it/ePrYip,4,,,2026-06-17
2026-06-19,Memento,2000,https://boxd.it/eQfEPN,4.5,,,2026-06-18
2026-06-24,Hokum,2026,https://boxd.it/eUE7R3,4,,,2026-06-23
2026-06-25,Michael,2026,https://boxd.it/eVrPzb,3.5,,,2026-06-24
2026-06-27,Wind River,2017,https://boxd.it/eXLSXj,4,,,2026-06-27
2026-06-30,Obsession,2025,https://boxd.it/f0EGrj,4.5,,,2026-06-30
2026-07-09,Jobs,2013,https://boxd.it/f9pQjl,2,,,2026-07-09
2026-07-12,Carolina Caroline,2025,https://boxd.it/fbpfQb,4,,,2026-07-11
2026-07-13,Requiem for a Dream,2000,https://boxd.it/fcpy95,5,,,2026-07-12
2026-07-19,Backrooms,2026,https://boxd.it/fjFBzP,4,,,2026-07-19
2026-07-23,Nirvanna the Band the Show the Movie,2025,https://boxd.it/fngHLN,5,,,2026-07-22
2026-07-24,The Worst Person in the World,2021,https://boxd.it/fornpN,4.5,,,2026-07-23
